Precinct,Yes,No,Total_Vote%,Yes%
Minneapolis W-12 P-13,383,478,69.7,44.48
Minneapolis W-13 P-1,481,685,49.3,41.25
Minneapolis W-13 P-2,291,651,71.2,30.89
Minneapolis W-13 P-3,372,843,71.9,30.62
Minneapolis W-13 P-4,477,717,64.1,39.95
Minneapolis W-13 P-5,389,852,73.8,31.35
Minneapolis W-13 P-6,432,"1,132",74.2,27.62
Minneapolis W-13 P-7,709,"1,361",72.9,34.25
Minneapolis W-13 P-8,552,876,66.2,38.66
Minneapolis W-13 P-9,715,"1,062",64.2,40.24
Minneapolis W-13 P-10,267,541,69.8,33.04
Minneapolis W-13 P-11,379,923,69.3,29.11
Minneapolis W-13 P-12,277,552,70.5,33.41
Minneapolis W-13 P-13,356,933,71.7,27.62
Candidate Totals:,"75,598","66,468",,53.21
